💚更新时间10-13,#genre#
仅供学习使用,http://ali.hlspull.yximgs.com/live/asdfg863678266.flv
🐼中央电视,#genre#
CCTV1综合,http://117.72.68.25:9930/migu.php?id=cctv1$咪咕直播
CCTV2财经,http://117.72.68.25:9930/migu.php?id=cctv2$咪咕直播
CCTV3综艺,http://117.72.68.25:9930/migu.php?id=cctv3$咪咕直播
CCTV4中文国际,http://117.72.68.25:9930/migu.php?id=cctv4$咪咕直播
CCTV4美洲,http://117.72.68.25:9930/migu.php?id=cctv4a$咪咕直播
CCTV4欧洲,http://117.72.68.25:9930/migu.php?id=cctv4o$咪咕直播
CCTV5体育,http://117.72.68.25:9930/migu.php?id=cctv5$咪咕直播
CCTV5+体育赛事,http://117.72.68.25:9930/migu.php?id=cctv5p$咪咕直播
CCTV6电影,http://117.72.68.25:9930/migu.php?id=cctv6$咪咕直播
CCTV7国防军事,http://117.72.68.25:9930/migu.php?id=cctv7$咪咕直播
CCTV8电视剧,http://117.72.68.25:9930/migu.php?id=cctv8$咪咕直播
CCTV9纪录,http://117.72.68.25:9930/migu.php?id=cctv9$咪咕直播
CCTV10科教,http://117.72.68.25:9930/migu.php?id=cctv10$咪咕直播
CCTV11戏曲,http://117.72.68.25:9930/migu.php?id=cctv11$咪咕直播
CCTV12社会与法,http://117.72.68.25:9930/migu.php?id=cctv12$咪咕直播
CCTV13新闻,http://117.72.68.25:9930/migu.php?id=cctv13$咪咕直播
CCTV14少儿,http://117.72.68.25:9930/migu.php?id=cctv14$咪咕直播
CCTV15音乐,http://117.72.68.25:9930/migu.php?id=cctv15$咪咕直播
CCTV17农业农村,http://117.72.68.25:9930/migu.php?id=cctv17$咪咕直播
CCTV1综合,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8$移动 | 回看
CCTV1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$移动 | 回看
CCTV1综合,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226514/index.m3u8$移动 | 回看
CCTV2财经,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226540/index.m3u8$移动 | 回看
CCTV2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$移动 | 回看
CCTV3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8$移动 | 回看
CCTV4中文国际,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226428/index.m3u8$移动 | 回看
